"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","65161","Other structural steel","%","-21.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","65162","Structural steel fabricated metal","%","73.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","652","Reinforcing metal","%","-3.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","653","Other steel products","%","14"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","661","Rough timber (including plain sawn)","%","-15.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","66161","Rough timber (softwood)","%","-15.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","66162","Rough timber (hardwood)","%","-21.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","671","Machined, treated engineered timber","%","11.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","67161","Other treated timber","%","9.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","67162","Wooden windows and doors","%","13.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","68","Bituminous macadam, asphalt and bituminous emulsions","%","16.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","681","Bituminous macadam and asphalt","%","16.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","682","Bituminous emulsions","%","12.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","691","Electrical fittings","%","9.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","69162","Lighting equipment","%","0"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","69163","Protection and communication equipment","%","13.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","70","All other materials","%","12.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","700","Plumbing materials including sanitary ware","%","11.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","701","HVAC (heating and ventilation equipment)","%","7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","702","Insulating materials","%","12"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","703","Pipes and fittings","%","16.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","70371","PVC pipes and fittings","%","13.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","70372","Copper pipes and fittings","%","18"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","704","Plaster","%","34.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","705","Paints, oils and varnishes","%","22.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","706","Glass","%","6.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","708","All other metal fittings","%","1.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202303","2023 March","709","All other products","%","9.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","-","Materials","%","11.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","601","Stone, sand and gravel","%","8.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","60161","Sand and gravel","%","6.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","60162","Stone","%","9.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","611","Cement","%","16.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","621","Ready mixed mortar and concrete","%","27.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","631","Concrete blocks and bricks","%","19.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","64","Other concrete products including precast","%","9.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","64261","Other concrete products (excluding precast concrete)","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","64262","Precast concrete","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","65","Structural steel and reinforcing metal","%","7.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","651","Structural steel","%","23.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","65161","Other structural steel","%","-28.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","65162","Structural steel fabricated metal","%","31.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","652","Reinforcing metal","%","-14.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","653","Other steel products","%","11.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","661","Rough timber (including plain sawn)","%","-15.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","66161","Rough timber (softwood)","%","-14.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","66162","Rough timber (hardwood)","%","-21.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","671","Machined, treated engineered timber","%","11.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","67161","Other treated timber","%","9.3"
