"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","-","Materials","Base 2015=100","142.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","601","Stone, sand and gravel","Base 2015=100","133.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","60161","Sand and gravel","Base 2015=100","136.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","60162","Stone","Base 2015=100","132.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","611","Cement","Base 2015=100","179.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","621","Ready mixed mortar and concrete","Base 2015=100","152.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","631","Concrete blocks and bricks","Base 2015=100","137.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","64","Other concrete products including precast","Base 2015=100","130.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","64261","Other concrete products (excluding precast concrete)","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","64262","Precast concrete","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","65","Structural steel and reinforcing metal","Base 2015=100","175.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","651","Structural steel","Base 2015=100","202.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","65161","Other structural steel","Base 2015=100","134"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","65162","Structural steel fabricated metal","Base 2015=100","210.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","652","Reinforcing metal","Base 2015=100","135.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","653","Other steel products","Base 2015=100","132.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","661","Rough timber (including plain sawn)","Base 2015=100","148"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","66161","Rough timber (softwood)","Base 2015=100","153.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","66162","Rough timber (hardwood)","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","671","Machined, treated engineered timber","Base 2015=100","143.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","67161","Other treated timber","Base 2015=100","148.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","67162","Wooden windows and doors","Base 2015=100","139.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","124.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","681","Bituminous macadam and asphalt","Base 2015=100","124.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","682","Bituminous emulsions","Base 2015=100","122.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","691","Electrical fittings","Base 2015=100","139.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","69163","Protection and communication equipment","Base 2015=100","121.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","70","All other materials","Base 2015=100","134.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","700","Plumbing materials including sanitary ware","Base 2015=100","146.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","701","HVAC (heating and ventilation equipment)","Base 2015=100","118"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","702","Insulating materials","Base 2015=100","122.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","703","Pipes and fittings","Base 2015=100","146.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","70371","PVC pipes and fittings","Base 2015=100","166.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","70372","Copper pipes and fittings","Base 2015=100","140"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","704","Plaster","Base 2015=100","206.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","705","Paints, oils and varnishes","Base 2015=100","164.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","706","Glass","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","708","All other metal fittings","Base 2015=100","118.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202401","2024 January","709","All other products","Base 2015=100","126.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","-","Materials","Base 2015=100","143"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","601","Stone, sand and gravel","Base 2015=100","133.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","60161","Sand and gravel","Base 2015=100","135"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","60162","Stone","Base 2015=100","133.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","611","Cement","Base 2015=100","179.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","621","Ready mixed mortar and concrete","Base 2015=100","153.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","631","Concrete blocks and bricks","Base 2015=100","137.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","64","Other concrete products including precast","Base 2015=100","130.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","64261","Other concrete products (excluding precast concrete)","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","64262","Precast concrete","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","65","Structural steel and reinforcing metal","Base 2015=100","177"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","651","Structural steel","Base 2015=100","204.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","65161","Other structural steel","Base 2015=100","150.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","65162","Structural steel fabricated metal","Base 2015=100","210.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","652","Reinforcing metal","Base 2015=100","135.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","653","Other steel products","Base 2015=100","134.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","661","Rough timber (including plain sawn)","Base 2015=100","148.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","66161","Rough timber (softwood)","Base 2015=100","153.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","66162","Rough timber (hardwood)","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","671","Machined, treated engineered timber","Base 2015=100","143.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","67161","Other treated timber","Base 2015=100","148.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","67162","Wooden windows and doors","Base 2015=100","139.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","124.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","681","Bituminous macadam and asphalt","Base 2015=100","125.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","682","Bituminous emulsions","Base 2015=100","113.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","691","Electrical fittings","Base 2015=100","138.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","69163","Protection and communication equipment","Base 2015=100","120.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","70","All other materials","Base 2015=100","134.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","700","Plumbing materials including sanitary ware","Base 2015=100","146.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","701","HVAC (heating and ventilation equipment)","Base 2015=100","118.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","702","Insulating materials","Base 2015=100","122.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","703","Pipes and fittings","Base 2015=100","146.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","70371","PVC pipes and fittings","Base 2015=100","166.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","70372","Copper pipes and fittings","Base 2015=100","140"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","704","Plaster","Base 2015=100","206.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","705","Paints, oils and varnishes","Base 2015=100","164.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","706","Glass","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","708","All other metal fittings","Base 2015=100","112.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202402","2024 February","709","All other products","Base 2015=100","126.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","-","Materials","Base 2015=100","143.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","601","Stone, sand and gravel","Base 2015=100","134"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","60161","Sand and gravel","Base 2015=100","136"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","60162","Stone","Base 2015=100","133.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","611","Cement","Base 2015=100","179.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","621","Ready mixed mortar and concrete","Base 2015=100","154"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","631","Concrete blocks and bricks","Base 2015=100","138.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","64","Other concrete products including precast","Base 2015=100","130.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","64261","Other concrete products (excluding precast concrete)","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","64262","Precast concrete","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","65","Structural steel and reinforcing metal","Base 2015=100","176.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","651","Structural steel","Base 2015=100","204.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","65161","Other structural steel","Base 2015=100","149.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","65162","Structural steel fabricated metal","Base 2015=100","210.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","652","Reinforcing metal","Base 2015=100","133.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","653","Other steel products","Base 2015=100","134.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","661","Rough timber (including plain sawn)","Base 2015=100","148"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","66161","Rough timber (softwood)","Base 2015=100","153.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","66162","Rough timber (hardwood)","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","671","Machined, treated engineered timber","Base 2015=100","144.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","67161","Other treated timber","Base 2015=100","148.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","67162","Wooden windows and doors","Base 2015=100","142.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","124.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","681","Bituminous macadam and asphalt","Base 2015=100","124.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","682","Bituminous emulsions","Base 2015=100","113.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","691","Electrical fittings","Base 2015=100","138.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","69163","Protection and communication equipment","Base 2015=100","120.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","70","All other materials","Base 2015=100","134.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","700","Plumbing materials including sanitary ware","Base 2015=100","146.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","701","HVAC (heating and ventilation equipment)","Base 2015=100","118.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","702","Insulating materials","Base 2015=100","122.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","703","Pipes and fittings","Base 2015=100","146.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","70371","PVC pipes and fittings","Base 2015=100","166.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","70372","Copper pipes and fittings","Base 2015=100","140"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","704","Plaster","Base 2015=100","206.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","705","Paints, oils and varnishes","Base 2015=100","164.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","706","Glass","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","708","All other metal fittings","Base 2015=100","112.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202403","2024 March","709","All other products","Base 2015=100","127.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","-","Materials","Base 2015=100","143.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","601","Stone, sand and gravel","Base 2015=100","134.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","60161","Sand and gravel","Base 2015=100","137.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","60162","Stone","Base 2015=100","133.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","611","Cement","Base 2015=100","179.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","621","Ready mixed mortar and concrete","Base 2015=100","157"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","631","Concrete blocks and bricks","Base 2015=100","141.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","64","Other concrete products including precast","Base 2015=100","130.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","64261","Other concrete products (excluding precast concrete)","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","64262","Precast concrete","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","65","Structural steel and reinforcing metal","Base 2015=100","175.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","651","Structural steel","Base 2015=100","203.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","65161","Other structural steel","Base 2015=100","145.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","65162","Structural steel fabricated metal","Base 2015=100","210.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","652","Reinforcing metal","Base 2015=100","132.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","653","Other steel products","Base 2015=100","134.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","661","Rough timber (including plain sawn)","Base 2015=100","150.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","66161","Rough timber (softwood)","Base 2015=100","155.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","66162","Rough timber (hardwood)","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","671","Machined, treated engineered timber","Base 2015=100","144.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","67161","Other treated timber","Base 2015=100","148.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","67162","Wooden windows and doors","Base 2015=100","142.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","124.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","681","Bituminous macadam and asphalt","Base 2015=100","124.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","682","Bituminous emulsions","Base 2015=100","113.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","691","Electrical fittings","Base 2015=100","136.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","69163","Protection and communication equipment","Base 2015=100","120.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","70","All other materials","Base 2015=100","136"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","700","Plumbing materials including sanitary ware","Base 2015=100","146.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","701","HVAC (heating and ventilation equipment)","Base 2015=100","118.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","702","Insulating materials","Base 2015=100","126.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","703","Pipes and fittings","Base 2015=100","148.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","70371","PVC pipes and fittings","Base 2015=100","166.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","70372","Copper pipes and fittings","Base 2015=100","142.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","704","Plaster","Base 2015=100","206.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","705","Paints, oils and varnishes","Base 2015=100","163.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","706","Glass","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","708","All other metal fittings","Base 2015=100","112.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202404","2024 April","709","All other products","Base 2015=100","127.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","-","Materials","Base 2015=100","144.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","601","Stone, sand and gravel","Base 2015=100","135.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","60161","Sand and gravel","Base 2015=100","136.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","60162","Stone","Base 2015=100","134.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","611","Cement","Base 2015=100","179.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","621","Ready mixed mortar and concrete","Base 2015=100","157.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","631","Concrete blocks and bricks","Base 2015=100","142"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","64","Other concrete products including precast","Base 2015=100","130.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","64261","Other concrete products (excluding precast concrete)","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","64262","Precast concrete","Base 2015=100",""
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","65","Structural steel and reinforcing metal","Base 2015=100","174.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","651","Structural steel","Base 2015=100","201.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","65161","Other structural steel","Base 2015=100","145.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","65162","Structural steel fabricated metal","Base 2015=100","208.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","652","Reinforcing metal","Base 2015=100","132.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","653","Other steel products","Base 2015=100","134.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","661","Rough timber (including plain sawn)","Base 2015=100","150.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","66161","Rough timber (softwood)","Base 2015=100","155.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","66162","Rough timber (hardwood)","Base 2015=100","106.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","671","Machined, treated engineered timber","Base 2015=100","144.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","67161","Other treated timber","Base 2015=100","148.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","67162","Wooden windows and doors","Base 2015=100","142.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","124.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","681","Bituminous macadam and asphalt","Base 2015=100","124.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","682","Bituminous emulsions","Base 2015=100","113.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","691","Electrical fittings","Base 2015=100","136.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","69162","Lighting equipment","Base 2015=100","107.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","69163","Protection and communication equipment","Base 2015=100","120.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","70","All other materials","Base 2015=100","137.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","700","Plumbing materials including sanitary ware","Base 2015=100","146.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","701","HVAC (heating and ventilation equipment)","Base 2015=100","118.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","702","Insulating materials","Base 2015=100","126.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","703","Pipes and fittings","Base 2015=100","149.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","70371","PVC pipes and fittings","Base 2015=100","166.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","70372","Copper pipes and fittings","Base 2015=100","143.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","704","Plaster","Base 2015=100","206.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","705","Paints, oils and varnishes","Base 2015=100","163.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","706","Glass","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","708","All other metal fittings","Base 2015=100","112.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202405","2024 May","709","All other products","Base 2015=100","130.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202406","2024 June","-","Materials","Base 2015=100","144.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","202406","2024 June","601","Stone, sand and gravel","Base 2015=100","136.5"
