"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200503","2005 March","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200503","2005 March","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200503","2005 March","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200503","2005 March","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","-","National - all residential properties","Base 2015=100","127.5"
"HPM09C01","Residential Property Price Index","200504","2005 April","01","National - houses","Base 2015=100","123.7"
"HPM09C01","Residential Property Price Index","200504","2005 April","02","National - apartments","Base 2015=100","153.5"
"HPM09C01","Residential Property Price Index","200504","2005 April","05","Dublin - all residential properties","Base 2015=100","122.7"
"HPM09C01","Residential Property Price Index","200504","2005 April","06","Dublin - houses","Base 2015=100","116.2"
"HPM09C01","Residential Property Price Index","200504","2005 April","07","Dublin - apartments","Base 2015=100","150.1"
"HPM09C01","Residential Property Price Index","200504","2005 April","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","03","National excluding Dublin - all residential properties","Base 2015=100","143.8"
"HPM09C01","Residential Property Price Index","200504","2005 April","04","National excluding Dublin - houses","Base 2015=100","141.5"
"HPM09C01","Residential Property Price Index","200504","2005 April","12","National excluding Dublin - apartments","Base 2015=100","182.8"
"HPM09C01","Residential Property Price Index","200504","2005 April","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200504","2005 April","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","-","National - all residential properties","Base 2015=100","128.4"
"HPM09C01","Residential Property Price Index","200505","2005 May","01","National - houses","Base 2015=100","124.6"
"HPM09C01","Residential Property Price Index","200505","2005 May","02","National - apartments","Base 2015=100","153.7"
"HPM09C01","Residential Property Price Index","200505","2005 May","05","Dublin - all residential properties","Base 2015=100","123.7"
"HPM09C01","Residential Property Price Index","200505","2005 May","06","Dublin - houses","Base 2015=100","117.4"
"HPM09C01","Residential Property Price Index","200505","2005 May","07","Dublin - apartments","Base 2015=100","150.1"
"HPM09C01","Residential Property Price Index","200505","2005 May","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","03","National excluding Dublin - all residential properties","Base 2015=100","144.8"
"HPM09C01","Residential Property Price Index","200505","2005 May","04","National excluding Dublin - houses","Base 2015=100","142.5"
"HPM09C01","Residential Property Price Index","200505","2005 May","12","National excluding Dublin - apartments","Base 2015=100","184"
"HPM09C01","Residential Property Price Index","200505","2005 May","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","22","Mid-East - houses","Base 2015=100",""
