year,month,avg_mean_temp
1996,7,12.65
1996,8,12.946908602150538
1996,9,12.174305555555556
1996,10,9.614112903225807
1996,11,4.9094444444444445
1996,12,3.20994623655914
1997,1,3.483064516129032
1997,2,4.99047619047619
1997,3,6.770833333333334
1997,4,8.663055555555555
1997,5,10.246908602150539
1997,6,11.422500000000001
1997,7,13.975806451612904
1997,8,14.79220430107527
1997,9,11.85763888888889
1997,10,9.282661290322581
1997,11,7.298194444444444
1997,12,5.388440860215053
1998,1,4.132795698924731
1998,2,6.654017857142857
1998,3,6.73494623655914
1998,4,5.637777777777777
1998,5,10.508467741935483
1998,6,11.281805555555556
1998,7,12.274865591397848
1998,8,13.366801075268818
1998,9,12.255833333333333
1998,10,9.018413978494623
1998,11,6.33125
1998,12,5.033467741935484
1999,1,3.9928763440860218
1999,2,4.973363095238095
1999,3,5.367741935483871
1999,4,7.545833333333333
1999,5,10.458198924731182
1999,6,11.032222222222224
1999,7,14.394489247311828
1999,8,13.785483870967743
1999,9,12.054444444444444
1999,10,9.054166666666667
1999,11,6.694861111111111
1999,12,3.875672043010753
2000,1,4.586021505376344
2000,2,4.8918103448275865
2000,3,6.556451612903226
2000,4,5.627361111111111
2000,5,10.15994623655914
2000,6,12.150416666666667
2000,7,13.931989247311828
2000,8,13.811693548387096
2000,9,11.84361111111111
2000,10,8.099462365591398
2000,11,5.065416666666667
2000,12,3.8745967741935483
2001,1,2.3803763440860215
2001,2,3.688392857142857
2001,3,3.9821236559139783
2001,4,6.485
2001,5,11.218817204301077
2001,6,11.529583333333333
2001,7,12.954704301075267
2001,8,13.3122311827957
2001,9,12.092083333333333
2001,10,10.557930107526882
2001,11,7.846666666666667
2001,12,4.052956989247312
2002,1,5.83736559139785
2002,2,5.2769345238095235
2002,3,6.104032258064516
2002,4,7.561944444444444
2002,5,9.57244623655914
2002,6,10.889722222222222
2002,7,12.455779569892472
2002,8,13.951075268817204
2002,9,12.529722222222222
2002,10,8.255107526881721
2002,11,6.9629166666666675
2002,12,4.784005376344086
2003,1,4.221102150537634
2003,2,3.969940476190476
2003,3,6.339784946236559
2003,4,8.436944444444444
2003,5,9.175
2003,6,12.366527777777778
2003,7,13.780510752688171
2003,8,15.137365591397849
2003,9,12.046805555555554
2003,10,8.29475806451613
2003,11,6.942222222222223
2003,12,4.986559139784947
2004,1,4.742607526881721
2004,2,4.381465517241379
2004,3,5.384408602150537
2004,4,7.400555555555556
2004,5,10.15
2004,6,12.690833333333334
2004,7,12.596774193548388
2004,8,14.090456989247311
2004,9,12.515555555555554
2004,10,7.549193548387097
2004,11,7.410694444444444
2004,12,6.011021505376344
2005,1,5.707930107526882
2005,2,4.243303571428571
2005,3,6.857930107526881
2005,4,7.0600000000000005
2005,5,9.095967741935485
2005,6,13.00125
2005,7,13.92997311827957
2005,8,13.773118279569893
2005,9,12.389305555555556
2005,10,10.139784946236558
2005,11,5.769027777777778
2005,12,5.488575268817205
2006,1,4.54731182795699
2006,2,4.1934523809523805
2006,3,4.413844086021505
2006,4,6.844861111111111
2006,5,9.670430107526883
2006,6,13.541805555555555
2006,7,15.535887096774195
2006,8,13.353225806451613
2006,9,13.147361111111111
2006,10,10.50725806451613
2006,11,6.239444444444445
2006,12,5.327150537634408
2007,1,5.646908602150538
2007,2,4.823214285714286
2007,3,5.650672043010753
2007,4,9.770555555555555
2007,5,9.951209677419355
2007,6,13.226666666666667
2007,7,12.921774193548387
2007,8,13.10510752688172
2007,9,12.092222222222222
2007,10,10.59462365591398
2007,11,8.147083333333333
2007,12,5.557795698924731
2008,1,5.074999999999999
2008,2,5.017385057471264
2008,3,4.865456989247312
2008,4,6.519305555555556
2008,5,12.179704301075269
2008,6,11.635555555555555
2008,7,13.724731182795699
2008,8,13.37029569892473
2008,9,11.171388888888888
2008,10,7.98481182795699
2008,11,6.670555555555556
2008,12,4.282930107526882
2009,1,3.215994623655914
2009,2,4.405803571428572
2009,3,6.115591397849463
2009,4,7.789583333333334
2009,5,9.620161290322581
2009,6,13.65375
2009,7,13.228360215053764
2009,8,13.060618279569892
2009,9,11.986527777777779
2009,10,10.438037634408602
2009,11,5.952361111111111
2009,12,2.2801075268817206
2010,1,1.7442204301075268
2010,2,1.8565476190476191
2010,3,4.831451612903226
2010,4,7.8983333333333325
2010,5,9.676344086021505
2010,6,13.415
2010,7,13.368279569892472
2010,8,12.740456989247312
2010,9,12.321527777777778
2010,10,9.063978494623656
2010,11,4.435138888888889
2010,12,0.7668010752688172
2011,1,3.0123655913978498
2011,2,5.501190476190476
2011,3,6.008064516129032
2011,4,9.995694444444444
2011,5,9.574596774193548
2011,6,10.565138888888889
2011,7,12.7625
2011,8,12.185887096774193
2011,9,11.8425
2011,10,9.993951612903226
2011,11,8.226666666666667
2011,12,4.876747311827957
2012,1,5.5639784946236555
2012,2,6.2653735632183905
2012,3,7.731720430107527
2012,4,6.025138888888889
2012,5,10.160752688172044
2012,6,11.358749999999999
2012,7,12.46048387096774
2012,8,14.186962365591398
2012,9,11.083888888888888
2012,10,7.500403225806451
2012,11,5.022638888888889
2012,12,4.477016129032258
2013,1,4.13508064516129
2013,2,3.7561011904761905
2013,3,2.448924731182796
2013,4,5.860277777777778
2013,5,8.456854838709678
2013,6,12.592222222222222
2013,7,16.450806451612902
2013,8,13.67029569892473
2013,9,12.223333333333333
2013,10,10.287500000000001
2013,11,5.762083333333333
2013,12,5.422580645161291
2014,1,4.180510752688172
2014,2,3.9107142857142856
2014,3,5.587096774193548
2014,4,8.898055555555555
2014,5,10.191935483870967
