year,month,day,avg_mean_temp
2019,11,19,5.333333333333333
2019,11,20,5.345833333333334
2019,11,21,5.195833333333334
2019,11,22,4.875
2019,11,23,5.958333333333333
2019,11,24,6.204166666666667
2019,11,25,8.533333333333333
2019,11,26,7.504166666666666
2019,11,27,7.195833333333333
2019,11,28,6.754166666666666
2019,11,29,2.9125
2019,11,30,3.1333333333333333
2019,12,1,3.5041666666666664
2019,12,2,3.2708333333333335
2019,12,3,4.7749999999999995
2019,12,4,6.158333333333334
2019,12,5,8.491666666666667
2019,12,6,8.0875
2019,12,7,8.491666666666667
2019,12,8,5.420833333333333
2019,12,9,5.908333333333334
2019,12,10,6.608333333333333
2019,12,11,1.9625000000000001
2019,12,12,4.325
2019,12,13,3.9791666666666665
2019,12,14,1.9791666666666667
2019,12,15,0.31250000000000006
2019,12,16,2.1416666666666666
2019,12,17,2.7083333333333335
2019,12,18,4.8875
2019,12,19,6.370833333333334
2019,12,20,3.9
2019,12,21,2.6666666666666665
2019,12,22,4.933333333333334
2019,12,23,4.908333333333333
2019,12,24,4.491666666666666
2019,12,25,3.0083333333333333
2019,12,26,6.679166666666667
2019,12,27,10.366666666666665
2019,12,28,8.920833333333333
2019,12,29,9.133333333333333
2019,12,30,6.941666666666666
2019,12,31,3.8041666666666667
2020,1,1,5.841666666666666
2020,1,2,7.495833333333334
2020,1,3,4.8875
2020,1,4,6.479166666666667
2020,1,5,8.183333333333334
2020,1,6,6.4375
2020,1,7,9.029166666666667
2020,1,8,4.304166666666666
2020,1,9,1.4458333333333335
2020,1,10,4.5874999999999995
2020,1,11,7.7749999999999995
2020,1,12,3.670833333333333
2020,1,13,4.6499999999999995
2020,1,14,1.8958333333333333
2020,1,15,3.658333333333333
2020,1,16,5.9125000000000005
2020,1,17,2.8041666666666667
2020,1,18,2.6916666666666664
2020,1,19,1.9916666666666665
2020,1,20,5.325
2020,1,21,7.425
2020,1,22,7.820833333333334
2020,1,23,5.904166666666666
2020,1,24,5.558333333333334
2020,1,25,5.7625
2020,1,26,3.9166666666666665
2020,1,27,0.23333333333333336
2020,1,28,0.9791666666666666
2020,1,29,5.033333333333333
2020,1,30,6.920833333333333
2020,1,31,8.870833333333334
2020,2,1,6.2
2020,2,2,6.1499999999999995
2020,2,3,4.1000000000000005
2020,2,4,5.0125
2020,2,5,4.308333333333334
2020,2,6,3.579166666666667
2020,2,7,4.6625000000000005
2020,2,8,4.508333333333334
2020,2,9,6.5249999999999995
2020,2,10,2.6416666666666666
2020,2,11,0.9666666666666667
2020,2,12,1.6208333333333333
2020,2,13,3.3333333333333335
2020,2,14,5.695833333333333
2020,2,15,5.808333333333334
2020,2,16,4.2625
2020,2,17,3.6875
2020,2,18,2.9499999999999997
2020,2,19,5.920833333333333
2020,2,20,3.625
2020,2,21,7.729166666666667
2020,2,22,4.6625000000000005
2020,2,23,3.8125
2020,2,24,3.9
2020,2,25,1.175
2020,2,26,2.0791666666666666
2020,2,27,2.5500000000000003
2020,2,28,5.916666666666667
2020,2,29,2.4625
2020,3,1,2.2958333333333334
2020,3,2,1.5166666666666666
2020,3,3,3.5208333333333335
2020,3,4,3.7416666666666667
2020,3,5,3.3708333333333336
2020,3,6,4.179166666666666
2020,3,7,8.4125
2020,3,8,4.970833333333333
2020,3,9,7.083333333333333
2020,3,10,7.266666666666667
2020,3,11,3.7083333333333335
2020,3,12,3.716666666666667
2020,3,13,5.279166666666667
2020,3,14,5.954166666666667
2020,3,15,4.816666666666666
2020,3,16,4.670833333333333
2020,3,17,5.595833333333334
2020,3,18,3.533333333333333
2020,3,19,3.225
2020,3,20,3.8249999999999997
2020,3,21,2.9958333333333336
2020,3,22,5.145833333333333
2020,3,23,5.945833333333333
2020,3,24,7.875
2020,3,25,7.304166666666667
2020,3,26,6.529166666666666
2020,3,27,6.4750000000000005
2020,3,28,6.3875
2020,3,29,3.1916666666666664
2020,3,30,5.770833333333333
2020,3,31,5.9125000000000005
2020,4,1,5.766666666666667
2020,4,2,6.7250000000000005
2020,4,3,6.3625
2020,4,4,7.375
2020,4,5,9.408333333333333
2020,4,6,6.879166666666666
2020,4,7,7.191666666666666
2020,4,8,9.633333333333333
2020,4,9,11.791666666666666
2020,4,10,11.391666666666666
2020,4,11,10.612499999999999
2020,4,12,7.291666666666667
2020,4,13,6.3999999999999995
2020,4,14,6.783333333333334
2020,4,15,9.833333333333334
2020,4,16,9.641666666666667
2020,4,17,10.329166666666667
2020,4,18,7.841666666666666
2020,4,19,9.154166666666667
2020,4,20,9.200000000000001
2020,4,21,9.862499999999999
2020,4,22,10.875
2020,4,23,12.316666666666668
2020,4,24,12.533333333333333
2020,4,25,11.4
2020,4,26,8.170833333333333
2020,4,27,7.679166666666667
2020,4,28,8.141666666666667
2020,4,29,7.070833333333333
2020,4,30,7.2
2020,5,1,6.629166666666666
2020,5,2,8.583333333333334
2020,5,3,9.529166666666667
2020,5,4,9.495833333333334
2020,5,5,9.991666666666667
2020,5,6,11.883333333333333
2020,5,7,11.262500000000001
2020,5,8,13.195833333333333
2020,5,9,13.716666666666667
2020,5,10,8.791666666666666
2020,5,11,5.679166666666667
2020,5,12,6.745833333333334
2020,5,13,6.9624999999999995
2020,5,14,7.504166666666666
2020,5,15,8.8125
2020,5,16,9.254166666666666
2020,5,17,10.208333333333334
2020,5,18,11.6875
2020,5,19,12.75
2020,5,20,13.270833333333334
2020,5,21,11.4
2020,5,22,9.75
2020,5,23,9.575
2020,5,24,12.0625
2020,5,25,10.583333333333334
2020,5,26,11.862499999999999
2020,5,27,14.558333333333332
2020,5,28,17.341666666666665
2020,5,29,16.908333333333335
2020,5,30,16.900000000000002
2020,5,31,16.591666666666665
2020,6,1,17.404166666666665
2020,6,2,15.120833333333332
2020,6,3,10.941666666666668
2020,6,4,9.758333333333333
2020,6,5,8.254166666666666
2020,6,6,8.025
2020,6,7,9.4
2020,6,8,9.833333333333334
2020,6,9,9.670833333333333
2020,6,10,9.450000000000001
2020,6,11,11.950000000000001
2020,6,12,13.3375
2020,6,13,13.183333333333332
2020,6,14,15.9125
2020,6,15,13.983333333333334
2020,6,16,11.8125
2020,6,17,12.220833333333333
2020,6,18,13.558333333333332
2020,6,19,11.495833333333332
2020,6,20,11.958333333333334
2020,6,21,11.833333333333334
2020,6,22,12.387500000000001
2020,6,23,12.0375
2020,6,24,13.700000000000001
2020,6,25,16.166666666666668
2020,6,26,14.475
2020,6,27,10.887500000000001
2020,6,28,9.745833333333334
2020,6,29,10.579166666666667
